Date,Sales
2013-01-01,2795.0428476755533
2013-01-02,2873.873159445278
2013-01-03,2914.9413736717634
2013-01-04,2944.7995125660327
2013-01-05,3011.937463670284
2013-01-06,3075.0028574719217
2013-01-07,3106.3250889645656
2013-01-08,3153.7485703752823
2013-01-09,3236.827647865286
2013-01-10,3274.0232923800245
2013-01-11,3291.7716299904077
2013-01-12,3338.679609670141
2013-01-13,3373.7439400835365
2013-01-14,3369.8676040793735
2013-01-15,3375.679219036135
2013-01-16,3411.7080369911946
2013-01-17,3397.5552263521213
2013-01-18,3360.9321881221813
2013-01-19,3351.822029201305
2013-01-20,3330.6612631574044
2013-01-21,3271.8170740987107
2013-01-22,3225.366498254974
2013-01-23,3213.2314328690222
2013-01-24,3156.3112278918243
2013-01-25,3083.484693961341
2013-01-26,3045.7386663522466
2013-01-27,3004.3211204320432
2013-01-28,2934.1949814278714
2013-01-29,2885.7996495804264
2013-01-30,2881.1746572362877
2013-01-31,2841.087546449484
2013-02-01,2794.0379502568376
2013-02-02,2790.394979216373
2013-02-03,2790.5656837194497
2013-02-04,2768.470329005714
2013-02-05,2773.33092836313
2013-02-06,2825.8267215851356
2013-02-07,2845.2578241968977
2013-02-08,2858.5880576318204
2013-02-09,2914.62300625017
2013-02-10,2972.21996241187
2013-02-11,3003.8043644339978
2013-02-12,3057.1980493731617
2013-02-13,3151.811923898051
2013-02-14,3205.8432645260855
2013-02-15,3245.3477410351225
2013-02-16,3318.441415469084
2013-02-17,3383.5287293798383
2013-02-18,3412.830598207997
2013-02-19,3454.217624714847
2013-02-20,3527.400908947889
2013-02-21,3551.120727687862
2013-02-22,3552.203424315704
2013-02-23,3579.742186955742
2013-02-24,3593.2983191957396
2013-02-25,3566.3978634916625
2013-02-26,3548.329459135201
2013-02-27,3560.2968866667866
2013-02-28,3522.567623375951
2013-03-01,3463.4888505744693
2013-03-02,3433.6277078215235
2013-03-03,3393.9335024152197
2013-03-04,3319.1977945345593
2013-03-05,3259.8192273442937
2013-03-06,3237.92744151499
